,Review
463,"My boyfriend just bought me this phone as a late anniversary gift since he knew I had been wanting one, it came unlocked as it was stated. I wish it didn’t have little bits of scratches in the corners shown in the pictures but once I put a case on it won’t matter. I also would of liked the battery life to be 100% but again, I’m just glad it looks as good as it does and I appreciate that it even already had a screen protector on it. And it came super fast! Thanks so much (:"
464,Amazing find for a present! The person loved their gift and got it for a great price. Easy to transfer info onto new phone and everything runs smoothly! Thanks
465,Got this for one of our spawns who is incredibly rough on electronics.  Everything worked great and it’s been over a month- no issues.
466,"la bateria estaba gastada y no fue informado, no se envio el cargador original y tampoco el cable original"
467,"Well I wasn't going to write a review but hopefully it'll help someone in the future...I bought this phone for my son and took it to our carrier who informed me that this phone wasn't unlocked and had 2 MEI numbers we even called Apple who then informed us that the phone would only work overseas. I returned it without a problem and received a full refund, which I'm very thankful for because this phone wasn't cheap and it kept powering on and off by itself which was unusual."
468,"El dispositivo llego en una caja de restauracion de amazon, tiene todas las funciones perfectas y estaba liberado para ser usado con cualquiera telefonica a nivel mundial recomiendo comprar estos dispositivos restaurados por amazon."
469,"For the price it would cost to fix the screen, I could get a brand new phone… no thanks.Disappointed because I’ve bought refurbished phones from Amazon before and had a great experience. Sadly, this was a waste of time and money. Returning"
470,This item wasn't new it came with scratches.please do not buy.
471,It was exactly as described.  Should have paid attention to the memory amount but that was my own fault. Love the red.  And the camera is outstanding
472,"A good product for value. I found other phones that were $30-$60 cheaper, and this phone did come with some slight cosmetic problems on the body. But overall I chose to go with this product due to 1)it coming with accessories, 2) it had the option of getting a protection warranty, and 3) it being an Amazon trusted item with the ability to return.Battery life is at 91% capacity which is good."
